stimuli_presented,participant_id_coded,name,participant_id,silly_or_annoying,intention,sarc,witty,z_silly_or_annoying,z_sarc,z_witty,gender,edu,native,generally_sarcastic,b5_agreeableness,b5_agreeableness_2,b5_conscientiousness,b5_conscientiousness_2,b5_extraversion,b5_extraversion_2,b5_neuroticism,b5_neuroticism_2,b5_openness,b5_openness_2,sarc_def1,sarc_def2,sarc_def3,sarc_def4,sarc_def5,context_type,b5_agree,b5_consci,b5_extra,b5_neuro,b5_open,int1_crit_harsher,int2_crit_softer,int3_mock_hilarious,int4_mock_friendly,int5_natural,int6_direct,int7_be_nice,int8_clever
11nn,40,11nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,2,['direct'],2,2,-1.270662557,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,0,0,0,0,1,0,0
12nn,40,12nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,5,['crit_softer'],3,3,1.77892758,-0.083886381,-0.083886381,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,1,0,0,0,0,0,0
13nn,40,13nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,"['natural', 'direct']",3,3,-0.254132511,-0.083886381,-0.083886381,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,0,0,0,1,1,0,0
10n,40,10n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,"['crit_softer', 'direct']",3,3,-0.254132511,-0.083886381,-0.083886381,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,1,0,0,0,1,0,0
15nn,40,15nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,4,"['crit_softer', 'mock_friendly', 'direct']",4,4,0.762397534,0.810901684,0.810901684,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,1,0,1,0,1,0,0
16nn,40,16nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,4,"['crit_softer', 'direct']",4,4,0.762397534,0.810901684,0.810901684,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,1,0,0,0,1,0,0
11n,40,11n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,2,"['direct', 'be_nice']",2,2,-1.270662557,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,0,1,1,0
12n,40,12n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,['natural'],3,3,-0.254132511,-0.083886381,-0.083886381,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,1,0,0,0
13n,40,13n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,2,"['natural', 'direct', 'be_nice']",2,2,-1.270662557,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,1,1,1,0
14n,40,14n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,['direct'],3,3,-0.254132511,-0.083886381,-0.083886381,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,0,1,0,0
15n,40,15n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,2,"['natural', 'direct', 'be_nice']",2,2,-1.270662557,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,1,1,1,0
16n,40,16n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,2,['direct'],2,2,-1.270662557,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,0,1,0,0
7n,40,7n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,4,"['mock_friendly', 'mock_hilarious']",5,5,0.762397534,1.70568975,1.70568975,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,1,1,0,0,0,0
8n,40,8n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,"['natural', 'direct', 'be_nice']",2,2,-0.254132511,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,1,1,1,0
9n,40,9n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,2,['be_nice'],2,2,-1.270662557,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,0,0,1,0
14nn,40,14nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,4,['direct'],3,3,0.762397534,-0.083886381,-0.083886381,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,0,0,0,0,1,0,0
1n,40,1n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,['natural'],2,2,-0.254132511,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,1,0,0,0
2n,40,2n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,['mock_hilarious'],4,4,-0.254132511,0.810901684,0.810901684,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,1,0,0,0,0,0
3n,40,3n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,"['natural', 'direct']",2,2,-0.254132511,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,1,1,0,0
4n,40,4n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,2,"['natural', 'direct']",2,2,-1.270662557,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,1,1,0,0
5n,40,5n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,5,"['mock_friendly', 'mock_hilarious']",5,5,1.77892758,1.70568975,1.70568975,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,1,1,0,0,0,0
6n,40,6n_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,4,"['natural', 'direct', 'be_nice']",3,3,0.762397534,-0.083886381,-0.083886381,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,n,4.5,4,5,4,3,0,0,0,0,1,1,1,0
1nn,50,1nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,['natural'],1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,0,0
2nn,50,2nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,5,"['natural', 'mock_friendly', 'clever']",1,5,1.717932556,-0.2514108,3.336843502,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,1,1,0,0,1
3nn,50,3nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'be_nice']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,1,0
4nn,50,4nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,5,"['natural', 'mock_friendly']",1,5,1.717932556,-0.2514108,3.336843502,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,1,1,0,0,0
5nn,50,5nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,4,['natural'],1,1,1.126815978,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,0,0
6nn,50,6nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,6,"['natural', 'direct']",1,4,2.309049135,-0.2514108,2.424202544,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
7nn,50,7nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,5,"['natural', 'direct']",1,1,1.717932556,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
8nn,50,8nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,['natural'],1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,0,0
9nn,50,9nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'direct', 'be_nice']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,1,0
10nn,50,10nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'direct']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
11nn,50,11nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'direct']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
12nn,50,12nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,4,"['natural', 'mock_friendly', 'direct']",4,1,1.126815978,3.196508738,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,1,1,1,0,0
13nn,50,13nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'direct']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
10n,50,10n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'direct', 'be_nice']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,1,0
15nn,50,15nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,4,"['natural', 'direct']",1,1,1.126815978,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
16nn,50,16nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'direct']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
11n,50,11n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,['natural'],1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,0,0
12n,50,12n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,4,"['natural', 'clever']",1,1,1.126815978,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,0,1
13n,50,13n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,['natural'],1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,0,0
14n,50,14n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'direct']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
15n,50,15n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'direct']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
16n,50,16n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'direct']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
7n,50,7n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'direct']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
8n,50,8n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'direct']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
9n,50,9n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'be_nice']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,1,0
14nn,50,14nn_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,['natural'],1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,nn,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,0,0
1n,50,1n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,['natural'],1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,0,0
2n,50,2n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'be_nice']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,1,0
3n,50,3n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'be_nice']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,1,0
4n,50,4n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,1,"['natural', 'be_nice']",1,1,-0.646533758,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,1,0
5n,50,5n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,4,['natural'],5,1,1.126815978,4.34581525,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,0,0,0
6n,50,6n_50,d2caf57b2aa444290d880f17ebb61d71327b83bfc5b5029d2aeb8416f305b0c5,4,"['natural', 'direct']",1,1,1.126815978,-0.2514108,-0.313720329,female,graduate degree,American English,,5,5,5,4,2,1,2,5,2,5,,,,,,n,5,4.5,1.5,3.5,3.5,0,0,0,0,1,1,0,0
1nn,57,1nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,4,"['crit_softer', 'direct']",5,4,-0.29185153,0.441978111,0.255959184,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,0,1,0,0,0,1,0,0
2nn,57,2nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,3,"['mock_friendly', 'mock_hilarious']",6,6,-0.914468126,0.947095951,1.348051701,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,0,0,1,1,0,0,0,0
3nn,57,3nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,2,"['natural', 'mock_hilarious']",6,6,-1.537084723,0.947095951,1.348051701,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,0,0,1,0,1,0,0,0
4nn,57,4nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,6,['natural'],5,5,0.953381664,0.441978111,0.802005442,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,0,0,0,0,1,0,0,0
5nn,57,5nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,5,"['crit_harsher', 'direct']",1,1,0.330765067,-1.578493252,-1.382179592,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,1,0,0,0,0,1,0,0
6nn,57,6nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,5,"['crit_harsher', 'direct']",1,1,0.330765067,-1.578493252,-1.382179592,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,1,0,0,0,0,1,0,0
7nn,57,7nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,6,"['crit_softer', 'direct']",1,1,0.953381664,-1.578493252,-1.382179592,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,0,1,0,0,0,1,0,0
8nn,57,8nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,4,"['natural', 'mock_friendly', 'mock_hilarious']",6,6,-0.29185153,0.947095951,1.348051701,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,0,0,1,1,1,0,0,0
9nn,57,9nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,6,"['natural', 'direct']",3,3,0.953381664,-0.568257571,-0.290087075,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,0,0,0,0,1,1,0,0
10nn,57,10nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,6,"['crit_harsher', 'direct']",5,4,0.953381664,0.441978111,0.255959184,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,1,0,0,0,0,1,0,0
11nn,57,11nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,5,"['crit_softer', 'mock_friendly']",6,4,0.330765067,0.947095951,0.255959184,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,0,1,0,1,0,0,0,0
12nn,57,12nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,6,['crit_harsher'],4,3,0.953381664,-0.06313973,-0.290087075,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,1,0,0,0,0,0,0,0
13nn,57,13nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,3,['crit_softer'],3,2,-0.914468126,-0.568257571,-0.836133333,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,0,1,0,0,0,0,0,0
10n,57,10n_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,3,['be_nice'],1,1,-0.914468126,-1.578493252,-1.382179592,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,n,2,2.5,3,3.5,5.5,0,0,0,0,0,0,1,0
15nn,57,15nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,6,"['crit_harsher', 'direct']",4,3,0.953381664,-0.06313973,-0.290087075,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,1,0,0,0,0,1,0,0
16nn,57,16nn_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,6,"['crit_harsher', 'clever']",6,5,0.953381664,0.947095951,0.802005442,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,nn,2,2.5,3,3.5,5.5,1,0,0,0,0,0,0,1
11n,57,11n_57,a36f1e5f2a0d5505add41c02c970a2d525692b046f260664b31645ea68440704,5,"['natural', 'crit_softer']",5,2,0.330765067,0.441978111,-0.836133333,male,undergraduate degree,British English,4,1,3,2,3,3,3,3,4,5,6,4,3,3,4,5,n,2,2.5,3,3.5,5.5,0,1,0,0,1,0,0,0
